"1"	"2"	"3"	"4"	"5"	"6"
"100126355"	3.22703378041438	3.02374300882484	10.5075665510793	2.39946589058651	1.44273643334678	1.47790161477159
"100126356"	0	0.592490184161624	0	0	1.13079342073126	1.15835531968584
"100126780"	0	0.513800081577658	0	0	0	0
"100126781"	0	0	0	0	0	0
"100126784"	0	0	0	0.0279156903558473	0.0335699571278871	0
"100126791"	0	0	0	0	0.257561018538652	0.0879462657217021
"100126793"	1.81927256404641	0.925991059022519	1.63817165557946	1.63662769465124	2.00828911521872	1.81037036203061
"100126798"	0.287655675098413	1.88674128317042	2.99724029489802	0	3.08650991068451	1.58087016989912
"100126800"	0	0	0	0	0	0
"100127206"	0.367476359811586	0.114775585413508	2.23354556007235	0.182158405306305	0	1.12196719446011
"100127888"	0	0	0	0	0	0
"100127889"	0.179050981438808	0.0559238184030104	0.310938193858468	0.177511507211757	0.213466104933962	0.546672791178267
"100127983"	0.799863073777924	0.187368690717779	0.173629304832649	0	0	0
"100128023"	0.0612995499773038	0.172313739149188	0	0	0	0
"100128025"	0.16534272019791	0.348585214356574	0.430698840962966	0.491763327399354	0.813132371444564	0.530060119785571
"100128054"	0	0	0	0	0	0
"100128071"	1.70700392032649	0.470432120471676	0.523123484946436	1.0452608922512	1.25697637755106	0.551834508519864
"100128076"	0.0697693685129352	0.196122496347734	0	0.103754240795739	0.187154179474905	0
"100128081"	0	0	0	0	0	0
"100128098"	0.112721602875824	0.0704137156765956	0	0	2.1502024788209	0
"100128124"	0	0	0	0	0	0
"100128126"	0	0	0	0	0	0
"100128164"	0	0.028137368985428	0	0	0	0
"100128176"	0	0	0	0	0	0
"100128191"	3.0642018006687	3.07922453192254	3.52822876852753	1.51892794908687	1.70745871469481	3.70153340213435
"100128239"	0.0610595778373317	0.0858195873535541	0.238579805987968	0.13620282676013	0.109193623054519	0
"100128252"	0.039387196814822	0	0.102599134673838	0	0	0
"100128264"	0	0	0	0	0	0
"100128285"	0.27310499892612	0.219343225487294	0.152444406327498	0.116038650628697	0.13954204524866	0.321622280257409
"100128288"	0.626384081614018	0.926722552023583	0.772890991967597	0.83344529172791	0.589563502588868	0.845506889052043
"100128292"	0.582183018613245	0.414585865426963	0.485286418019321	0.831135497601962	0.458095144894781	0.469260731697549
"100128327"	0	0	0	0.0787749179173683	0	0
"100128338"	40.620302448972	36.4754881442694	43.7540138774755	37.9447871426052	26.9655188104815	24.3343493501266
"100128361"	0.818765710778911	0.423275368894226	0.808989637118492	0.965674023946822	0.858329519275901	2.01710385314562
"100128378"	0.0464975056137879	0.065352511204313	0.121120674388062	0.0691465824713567	0	0.0425894138738418
"100128385"	0.543999192659417	0.747603012257675	0.283411112969172	0.107864381233737	1.6214011759538	0.398621069364849
"100128398"	1.59097698636402	1.04005920572388	0.963793663620344	0.880352271928417	2.51433139095649	1.83004264264548
"100128420"	0	0	0	0	0	0
"100128496"	0	0	0	0	0	0
"100128505"	0	0	0	0.0594400718909527	0	0
"100128511"	0.333170813563352	0.62436465609437	0.578581196167023	0.990918666840313	0.198604540666408	0
"100128531"	0	0	0	0	0	0
"100128553"	0.628110297415957	0.525930928895943	0.522177241018981	1.23217050778976	1.29055136402574	1.24856235048392
"100128554"	0	0	0	0	0	0
"100128568"	0.219680703361543	0.102920830112583	0.286121530498872	0.163343922129128	0	0
"100128569"	0.418408254688601	0.490062670953355	0.544952780890549	0	0.561183620124456	0.383241253308878
"100128573"	0	0.125269353222743	0	0.397625776154335	0.478164075052076	0
"100128590"	0	0	0	0	0	0
"100128593"	0	0	0	0	0	0
