rxns_subSystems1	rxns_subSystems2
3HBCDm	Transport, nuclear * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, lysosomal
3HBCOAHLm	Transport, nuclear * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Methionine and cysteine metabolism * Tyrosine metabolism * Transport, lysosomal
3HKYNAKGAT	Transport, nuclear * Methionine and cysteine metabolism * Methionine and cysteine metabolism * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Methionine and cysteine metabolism * Taurine and hypotaurine metabolism * Transport, mitochondrial * Tyrosine metabolism
3HLYTCL	Transport, nuclear * Methionine and cysteine metabolism * Tyrosine metabolism * Transport, extracellular * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism
3M4HDXPAC	Transport, nuclear * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Methionine and cysteine metabolism * Tyrosine metabolism * Transport, extracellular * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism
3MLDAt	Transport, nuclear * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial
3MOBt2im	Transport, nuclear * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Transport, lysosomal
3MOPt2im	Transport, nuclear * Tyrosine metabolism * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Transport, lysosomal
3MOX4HOXPGALDOX	Transport, nuclear * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Valine, leucine, and isoleucine metabolism * Methionine and cysteine metabolism * Transport, mitochondrial * Transport, extracellular * Ubiquinone synthesis * Taurine and hypotaurine metabolism * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular
3MOX4HOXPGALDOX_NADP_	Transport, nuclear * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Valine, leucine, and isoleucine metabolism * Methionine and cysteine metabolism * Transport, mitochondrial * Transport, extracellular * Ubiquinone synthesis * Taurine and hypotaurine metabolism * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, extracellular
3MOXTYROX	Transport, nuclear * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Tyrosine metabolism * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, extracellular
3SALAASPm	Transport, nuclear * Arginine and proline metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Arginine and proline metabolism * Ubiquinone synthesis * Transport, lysosomal
3SALACBOXL	Transport, nuclear * Arginine and proline metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Tyrosine metabolism
3SALAOX	Transport, nuclear * Arginine and proline metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular
3SALATAi	Transport, nuclear * Arginine and proline metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tryptophan metabolism
3SALATAim	Transport, nuclear * Arginine and proline metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tryptophan metabolism * Transport, lysosomal
3SPYRSP	Transport, nuclear * Arginine and proline metabolism * Ubiquinone synthesis * Transport, extracellular * Transport, extracellular * Arginine and proline metabolism * Ubiquinone synthesis
3SPYRSPm	Transport, nuclear * Arginine and proline metabolism * Ubiquinone synthesis * Transport, extracellular * Transport, extracellular * Arginine and proline metabolism * Ubiquinone synthesis * Transport, lysosomal
41R1H2MAE12BOOX	Valine, leucine, and isoleucine metabolism * Ubiquinone synthesis * Transport, extracellular * Ubiquinone synthesis * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular
41R2A1H12BOOX	Valine, leucine, and isoleucine metabolism * Ubiquinone synthesis * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Ubiquinone synthesis * Methionine and cysteine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular
42A12BOOX	Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Transport, mitochondrial * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular
4ABUTtm	Valine, leucine, and isoleucine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Transport, lysosomal
4HBZCOAFm	Valine, leucine, and isoleucine metabolism * Methionine and cysteine metabolism * Tyrosine metabolism * Cytochrome metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Taurine and hypotaurine metabolism * Transport, lysosomal
4HBZFm	Valine, leucine, and isoleucine metabolism * Methionine and cysteine metabolism * Tyrosine metabolism * Cytochrome metabolism * Taurine and hypotaurine metabolism * Transport, lysosomal
4HDEBRISOQUINEte	Valine, leucine, and isoleucine metabolism * Methionine and cysteine metabolism * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, extracellular * Methionine and cysteine metabolism * Arginine and proline metabolism * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Methionine and cysteine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular
4HGLSDm	Valine, leucine, and isoleucine metabolism * Methionine and cysteine metabolism * Taurine and hypotaurine metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Transport, lysosomal
4HOXPACDOX_NADP_	Valine, leucine, and isoleucine metabolism * Methionine and cysteine metabolism * Transport, mitochondrial * Transport, extracellular * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, extracellular
4MOPt2im	Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Tyrosine metabolism * Tryptophan metabolism * Transport, lysosomal
4MPTNLte	Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular
4MPTNLtm	Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, lysosomal
4MTOLBUTAMIDEte	Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Methionine and cysteine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular
4NPHSFte	Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Methionine and cysteine metabolism * Arginine and proline metabolism * Taurine and hypotaurine metabolism * Transport, mitochondrial * Transport, extracellular
4NPHSULT	Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Methionine and cysteine metabolism * Arginine and proline metabolism * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism
4NPHte	Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Methionine and cysteine metabolism * Transport, mitochondrial * Transport, extracellular
4PYRDX	Valine, leucine, and isoleucine metabolism * Ubiquinone synthesis * Transport, extracellular * Transport, extracellular * Tyrosine metabolism * Transport, extracellular
5ADTSTSTERONEGLCte	Transport, mitochondrial * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Taurine and hypotaurine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular
5ADTSTSTERONEGLCtr	Transport, mitochondrial * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Taurine and hypotaurine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, endoplasmic reticular
5ADTSTSTERONESte	Transport, mitochondrial * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Arginine and proline metabolism * Transport, mitochondrial * Transport, extracellular
5ADTSTSTERONESULT	Transport, mitochondrial * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Arginine and proline metabolism * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism
5ADTSTSTERONEte	Transport, mitochondrial * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular
5ADTSTSTERONEtr	Transport, mitochondrial * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, endoplasmic reticular
5AOPtm	Transport, mitochondrial * Transport, mitochondrial * Transport, mitochondrial * Ubiquinone synthesis * Transport, mitochondrial * Transport, lysosomal
5DHFtl	Transport, mitochondrial * Tyrosine metabolism * Methionine and cysteine metabolism * Taurine and hypotaurine metabolism * Transport, mitochondrial * Transport, extracellular
5FTHFt2	Transport, mitochondrial * Taurine and hypotaurine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Taurine and hypotaurine metabolism * Transport, mitochondrial * Tyrosine metabolism
5HLTDL	Transport, mitochondrial * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism
5HOMEPRAZOLEte	Transport, mitochondrial * Methionine and cysteine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Ubiquinone synthesis * Transport, extracellular * Transport, mitochondrial * Cytochrome metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular
