,rxn ID,subSystem
66,3MOX4HOXPGALDOX_NADP_,"['Transport, nuclear', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Valine, leucine, and isoleucine metabolism', 'Methionine and cysteine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Ubiquinone synthesis', 'Taurine and hypotaurine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Transport, extracellular']"
67,3MOXTYROX,"['Transport, nuclear', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, extracellular', 'Transport, extracellular', 'Transport, mitochondrial', 'Transport, extracellular']"
68,3SALAASPm,"['Transport, nuclear', 'Arginine and proline metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Arginine and proline metabolism', 'Ubiquinone synthesis', 'Transport, lysosomal']"
69,3SALACBOXL,"['Transport, nuclear', 'Arginine and proline metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Tyrosine metabolism']"
70,3SALAOX,"['Transport, nuclear', 'Arginine and proline metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Transport, extracellular']"
71,3SALATAi,"['Transport, nuclear', 'Arginine and proline metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tryptophan metabolism']"
72,3SALATAim,"['Transport, nuclear', 'Arginine and proline metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tryptophan metabolism', 'Transport, lysosomal']"
73,3SPYRSP,"['Transport, nuclear', 'Arginine and proline metabolism', 'Ubiquinone synthesis', 'Transport, extracellular', 'Transport, extracellular', 'Arginine and proline metabolism', 'Ubiquinone synthesis']"
74,3SPYRSPm,"['Transport, nuclear', 'Arginine and proline metabolism', 'Ubiquinone synthesis', 'Transport, extracellular', 'Transport, extracellular', 'Arginine and proline metabolism', 'Ubiquinone synthesis', 'Transport, lysosomal']"
75,41R1H2MAE12BOOX,"['Valine, leucine, and isoleucine metabolism', 'Ubiquinone synthesis', 'Transport, extracellular', 'Ubiquinone synthesis', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Transport, extracellular']"
76,41R2A1H12BOOX,"['Valine, leucine, and isoleucine metabolism', 'Ubiquinone synthesis', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Ubiquinone synthesis', 'Methionine and cysteine metabolism', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Transport, extracellular']"
77,42A12BOOX,"['Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Transport, extracellular']"
78,4ABUTtm,"['Valine, leucine, and isoleucine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, lysosomal']"
79,4HBZCOAFm,"['Valine, leucine, and isoleucine metabolism', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Cytochrome metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Taurine and hypotaurine metabolism', 'Transport, lysosomal']"
80,4HBZFm,"['Valine, leucine, and isoleucine metabolism', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Cytochrome metabolism', 'Taurine and hypotaurine metabolism', 'Transport, lysosomal']"
81,4HDEBRISOQUINEte,"['Valine, leucine, and isoleucine metabolism', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, extracellular', 'Methionine and cysteine metabolism', 'Arginine and proline metabolism', 'Transport, mitochondrial', 'Ubiquinone synthesis', 'Transport, mitochondrial', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Transport, extracellular']"
82,4HGLSDm,"['Valine, leucine, and isoleucine metabolism', 'Methionine and cysteine metabolism', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Arginine and proline metabolism', 'Tyrosine metabolism', 'Transport, lysosomal']"
83,4HOXPACDOX_NADP_,"['Valine, leucine, and isoleucine metabolism', 'Methionine and cysteine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Ubiquinone synthesis', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Transport, extracellular']"
84,4MOPt2im,"['Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Ubiquinone synthesis', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tryptophan metabolism', 'Transport, lysosomal']"
85,4MPTNLte,"['Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular']"
86,4MPTNLtm,"['Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, lysosomal']"
87,4MTOLBUTAMIDEte,"['Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Transport, extracellular']"
88,4NPHSFte,"['Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Methionine and cysteine metabolism', 'Arginine and proline metabolism', 'Taurine and hypotaurine metabolism', 'Transport, mitochondrial', 'Transport, extracellular']"
89,4NPHSULT,"['Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Methionine and cysteine metabolism', 'Arginine and proline metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tyrosine metabolism']"
90,4NPHte,"['Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Methionine and cysteine metabolism', 'Transport, mitochondrial', 'Transport, extracellular']"
91,4PYRDX,"['Valine, leucine, and isoleucine metabolism', 'Ubiquinone synthesis', 'Transport, extracellular', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, extracellular']"
92,5ADTSTSTERONEGLCte,"['Transport, mitochondrial', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Arginine and proline metabolism', 'Tyrosine metabolism', 'Arginine and proline metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular']"
93,5ADTSTSTERONEGLCtr,"['Transport, mitochondrial', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Arginine and proline metabolism', 'Tyrosine metabolism', 'Arginine and proline metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, endoplasmic reticular']"
